,trascripcion,time,1,2,3,7,10,28,29,30
sources/16-01-2021_21:17:02-806145f6-ebae-43e3-848f-3d6b26d803bd,4 9 10 11 14 16 y 19,1.9636681079864502,True,False,False,False,False,False,False,False
sources/02-02-2021_07:09:14-d866b2c0-6eca-40e1-ad93-5f4feab08421,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 6 7,2.3033719062805176,True,True,True,True,True,False,False,False
sources/14-01-2021_00:30:27-39f1a1db-904a-4069-9a35-005847b9101c,3 4 5 6 7 8 9 10,1.967829942703247,False,False,True,True,True,False,False,False
sources/03-01-2021_15:15:25-109d0932-6702-4390-9e4c-d01177e1fb5c,3 4 5 6 7 8 9 10 11 12 13 14 y 5,2.3591411113739014,True,True,True,True,True,False,False,False
sources/15-01-2021_00:56:43-7e43bff4-5cec-48e2-8697-1e72f81a8522,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,3.1818087100982666,True,True,True,True,True,False,False,False
sources/03-01-2021_21:35:17-26e43698-7653-46eb-9ba4-e3a4502db126,mundo 2 3 4 5 6 7 8 9 10 11 12 13 14 15 y 67,1.8232941627502441,True,True,True,True,True,False,False,False
sources/30-01-2021_21:49:54-c453e481-e0cc-4509-b321-f8dce76be00a,8 9 10 11 700 x 6779 20347,1.7737469673156738,True,False,False,True,True,False,False,False
sources/20-01-2021_21:05:05-ab9362e1-e884-4648-86a4-d22e9cb0acf5,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30,1.7899789810180664,True,True,True,True,True,True,True,True
sources/05-01-2021_22:50:08-fc67332b-fb3f-401b-a506-dd13e0bb3a35,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 y 24,2.250080108642578,True,True,True,True,True,False,False,False
sources/23-01-2021_14:16:23-e08b689e-100e-437f-9f33-559ff3436567,2 3 4 5 6 7 8 9 10 11 12 13 14 15 y 5,3.300945997238159,True,True,True,True,True,False,False,False
sources/09-01-2021_12:16:22-976e8c69-7daa-4a54-9f65-aac75dd06161,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 19 20 21 22 23 24 25 26 27 28,1.5969178676605225,True,True,True,True,True,True,False,False
