,time,1,2,3,7,10,28,29,30
sources/16-01-2021_21:17:02-806145f6-ebae-43e3-848f-3d6b26d803bd,3.5141451358795166,False,False,False,False,True,False,False,False
sources/02-02-2021_07:09:14-d866b2c0-6eca-40e1-ad93-5f4feab08421,2.5004448890686035,True,True,True,True,True,False,False,False
sources/14-01-2021_00:30:27-39f1a1db-904a-4069-9a35-005847b9101c,2.379845142364502,False,False,True,True,True,False,False,False
sources/03-01-2021_15:15:25-109d0932-6702-4390-9e4c-d01177e1fb5c,3.4720702171325684,False,False,True,True,True,False,False,False
sources/15-01-2021_00:56:43-7e43bff4-5cec-48e2-8697-1e72f81a8522,3.633464813232422,True,True,True,True,True,False,False,False
sources/03-01-2021_21:35:17-26e43698-7653-46eb-9ba4-e3a4502db126,2.3199291229248047,False,True,True,True,True,False,False,False
sources/30-01-2021_21:49:54-c453e481-e0cc-4509-b321-f8dce76be00a,2.2965140342712402,False,False,False,True,True,True,False,False
sources/20-01-2021_21:05:05-ab9362e1-e884-4648-86a4-d22e9cb0acf5,2.299475908279419,True,True,True,True,True,False,False,False
sources/05-01-2021_22:50:08-fc67332b-fb3f-401b-a506-dd13e0bb3a35,3.060734987258911,True,True,True,True,True,False,False,False
sources/23-01-2021_14:16:23-e08b689e-100e-437f-9f33-559ff3436567,3.6709439754486084,True,True,True,True,True,False,False,False
sources/09-01-2021_12:16:22-976e8c69-7daa-4a54-9f65-aac75dd06161,2.030524969100952,True,True,True,True,True,True,False,False
sources/08-01-2021_06:43:31-34ae78bd-fdb2-4e8b-898d-a9d8de973fce,2.5468668937683105,True,True,True,True,True,False,False,False
sources/12-01-2021_22:47:37-f9295b32-8440-413b-b276-47f8a7d5932a,3.3164191246032715,True,True,True,True,True,True,True,True
sources/10-01-2021_19:44:20-25454325-9ab0-49de-86b2-03d8917d028f,2.086995840072632,True,True,True,True,True,False,False,False
sources/20-01-2021_13:09:23-a7a7daaa-03ae-4233-887f-1b1d5445b477,2.3653838634490967,True,True,True,True,True,True,True,True
sources/14-01-2021_02:33:23-6224035c-741c-4216-a777-79e6e6243224,1.921710729598999,False,False,False,True,True,False,False,False
sources/13-01-2021_12:17:09-2f78e3ed-599e-4b9d-b519-11a234970dbb,2.468825101852417,True,True,True,True,True,True,True,True
sources/13-01-2021_04:55:22-c509b98d-71db-48ba-81bc-971bd01d9089,2.2940518856048584,False,False,False,True,True,True,True,True
sources/17-01-2021_07:40:19-3abe4f55-12d6-49e8-b469-c010e67dd60b,2.468597173690796,False,False,False,True,True,True,True,False
sources/04-01-2021_13:24:03-745b61ff-3200-4d43-bf01-88d4cdac8656,2.646963119506836,False,False,False,False,True,True,True,True
sources/02-01-2021_17:43:17-f7b9c5f6-bb80-444a-955f-5d2ed8e35f81,3.1103460788726807,False,False,False,False,False,False,False,False
sources/13-01-2021_19:32:39-2321dab5-9170-488f-a8af-57ccd1c54865,2.1820120811462402,False,False,True,True,True,True,True,False
sources/21-01-2021_14:14:42-d268f945-2d5b-496a-89e5-5ff15394f0ac,2.9313902854919434,True,True,True,True,True,True,True,True
sources/31-12-2020_19:44:00-4941d5d5-fb24-4d07-add9-00bb1077bd75,2.6199049949645996,True,True,True,True,True,False,False,False
sources/04-01-2021_13:37:35-4376ffae-122c-4330-96bc-bf9197f68080,2.3071579933166504,False,True,True,True,True,True,True,True
sources/13-01-2021_23:15:53-3af03d3b-751e-471d-b0cb-c6985b1725f9,3.639366865158081,False,False,True,False,False,False,False,False
sources/12-01-2021_17:44:23-0d8459cf-c630-4c27-bf43-abc49023a132,2.363287925720215,False,False,False,True,True,True,True,True
sources/17-01-2021_01:55:01-9683e2cf-b10f-4365-9d2c-b54d229cd6c5,2.6895549297332764,True,True,True,True,True,True,True,True
sources/14-01-2021_22:51:39-abb76840-16d4-42ac-acda-b642275a9675,3.221848964691162,False,False,False,False,False,False,False,False
sources/13-01-2021_00:57:30-02c3cc40-e847-4c4f-91ef-d2cd8bd84a77,2.2583770751953125,False,False,False,True,True,False,False,False
sources/12-01-2021_17:23:13-c8db0e5b-4a4f-424b-b34b-2eb9f8af957e,2.5818240642547607,True,True,True,True,True,True,True,True
sources/04-01-2021_22:00:47-13ef0b1f-c548-47ed-b9d8-cbc99f657efe,2.230193853378296,True,True,True,True,True,True,False,False
sources/12-01-2021_17:30:42-00f3e7dd-cd43-48fd-94d9-ef87c4332442,3.2804458141326904,False,False,False,False,False,False,False,False
sources/16-01-2021_23:43:10-25839531-720c-4eea-8c43-7b02512475f2,2.8060381412506104,True,True,True,True,True,False,False,False
sources/16-01-2021_22:24:28-2c69ce7d-40ec-4997-8da1-3f6849602950,3.422891855239868,False,False,True,True,True,False,False,False
sources/21-01-2021_09:35:21-33099857-62bb-4888-b2ee-e680c861a114,2.6318678855895996,True,True,True,True,True,True,True,True
sources/16-01-2021_21:18:34-b5d2edee-f5cd-4902-9288-4c682df3dd4e,3.1120247840881348,True,True,True,True,True,False,False,False
sources/24-01-2021_17:43:49-1ecf0063-42ff-4813-a9b9-8b550ad02f55,2.2632503509521484,True,True,True,True,True,True,True,True
sources/23-01-2021_14:37:34-545f10b9-1285-4d18-9ac8-813eeebde0e7,2.860199213027954,False,False,False,False,False,False,False,False
sources/12-01-2021_16:45:22-59b76815-42df-407e-b55f-037efa22e7b7,2.7060537338256836,False,True,True,True,True,False,False,False
sources/10-01-2021_19:23:48-0cf0e782-d789-4c60-b386-edbe34a2bfad,2.8484139442443848,True,True,True,True,True,True,False,False
sources/12-01-2021_22:28:42-a4687bd0-b0d9-43e1-8262-84d35bf10baf,3.4838876724243164,False,False,False,False,False,False,False,False
sources/26-01-2021_16:28:42-b01704bb-4837-4c55-b9d9-be52f79f3a5f,3.747753143310547,True,True,True,True,True,True,True,True
sources/02-01-2021_12:59:13-32cd91f6-f079-413f-921a-6401d9a6752e,3.0936439037323,False,False,False,True,True,False,False,False
sources/02-01-2021_10:38:34-45131fee-83b8-46f3-b3fa-27314da41f1a,2.3612868785858154,True,True,True,True,True,True,True,False
sources/12-01-2021_18:38:42-4ee43891-ba37-41e2-a4c3-a70e81093513,3.399805784225464,True,True,True,True,True,False,False,False
sources/31-12-2020_19:46:31-a803d8b4-075a-4722-a56d-a628fba6b4cb,3.319499969482422,True,True,True,False,False,False,False,True
sources/03-01-2021_21:04:07-0a85b68b-debe-44cd-bd85-75ddd064ad69,2.189803123474121,False,False,False,True,True,True,True,True
